Symbol;PriceChangePercentile
EOAE;150.10889900
EOAI;8.57822100
EOAP;9.59902200
ERA;332.97582400
ERAF;17.03260700
ERCB;384.26365100
ERCG;10.13216300
ERIF;9.42643900
ESL;133.85139700
ESL1;1632.03710200
ESL2;218.78245000
ESL4;735.02686700
ESL5;286.55017800
ESSG;10.05229600
EUN2;483.19747600
EUNF;9.00000000
EUQ;449.32489600
EVAR;5.76179700
EVD;342.18487300
EVDF;15.00677100
EVK;113.87198400
EVKF;10.09131100
EVN;1972.26142000
EVNF;10.98380100
EVT;135.32228800
EVTF;15.30261900
EXDF;18.65693900
EXPF;9.01909400
EXS1;973.16031100
EXSA;4364.91097900
EXSF;9.00000000
EXX1;4162.61166300
EZJF;8.80000000
F2DR;85879.36802100
F2IA;8.80000000
F2IM;21777.46812300
F2ME;49330.34072500
F2MX;10.94350500
F2NG;12375.62820900
F2OT;43652.64783500
F2RE;29066.26729600
F2TE;2.27043800
F3D;171.59921700
F3IA;22960.16035800
F3TE;5816.40915300
FAHG;8.80000000
FAPG;8.80000000
FATX;10.14866700
FAU;4334.03874600
FAUF;18.06764500
FAXA;7.01120300
FAXL;6.75000000
FAXM;8.65743100
FAXQ;8.07234400
FAXS;8.17043000
FAXV;7.99446800
FBK2;6.75000000
FBKF;14.36978500
FBON;3.95100000
FBTM;2.91600000
FBTP;3.68716800
FBTS;1.55700000
FBTX;32.27093100
FBUF;17.28772200
FCAG;7.76456700
FCAU;3.06887400
FCAY;4.07208800
FCBU;8.80000000
FCCO;7.85341300
FCDK;2.16000000
FCEA;2.31945600
FCEE;9.78880600
FCEF;1.90278400
FCEN;11.59897900
FCEP;2.15109300
FCEU;2.44650600
FCEY;3.11394500
FCGR;9.10848300
FCIN;8.89407200
FCLI;6.75000000
FCME;8.80000000
FCMU;8.80000000
FCNK;2.79060300
FCNS;2.26738000
FCNU;2.90120400
FCPE;12.68730600
FCPF;2.50577300
FCPR;6.75000000
FCPU;3.39806700
FCRU;11.65861200
